DISENO;Gramaje ;PLANTA;GAP LO(mm);GAP LT(mm); TEMPERATURA HORNO 1(C); TEMPERATURA HORNO 2(C); TEMPERATURA HORNO 3(C); TEMPERATURA HORNO 4(C); TEMPERATURA HORNO 5(C); TEMPERATURA HORNO 6(C);VELOCIDAD VENTILADOR HORNO 1(rpm);VELOCIDAD VENTILADOR HORNO 2(rpm);VELOCIDAD VENTILADOR HORNO 3(rpm);VELOCIDAD VENTILADOR HORNO 4 (rpm);VELOCIDAD VENTILADOR HORNO 5 (rpm);VELOCIDAD VENTILADOR HORNO 6 (rpm); VELOCIDAD DE LA LINEA m/min;PESO IMPREGNADO LO1;PESO IMPREGNADO LC;PESO IMPREGNADO LT1;VOLATILES LO2;VOLATILES LC2; VOLATILES LT2;FLUIDEZ;ESTADO B LO3;ESTADO B LC3;ESTADO B LT3
Nevado;90;FF2;0,115;0,119;134;134;134;187;197;138;1150;1150;1150;1300;1200;1100;26;224,5;222,2;225,8;6,7;6;7,3;3,8;26,5;36,6;25,26
Nevado;90;FF2;0,115;0,119;134;134;134;187;197;138;1150;1150;1150;1300;1200;1100;26;224,5;222,2;225,8;6,7;6;7,3;3,8;26,5;36,6;25,26
Nevado;90;BP1;0,145;0,15;147;147;147;185;195;136;1150;1150;1150;1300;1200;1100;26;216,9;211,5;212,3;6,7;5,2;5,5;1,9;14,3;41,8;24,5
Nevado;90;BP1;0,139;0,15;147;147;147;188;195;137;1150;1150;1150;1300;1200;1100;26;219,6;216,3;219,2;5,8;4,9;5,3;1,5;37,9;62,2;43,2
Nevado;90;BP1;0,139;0,15;147;147;147;190;195;137;1050;1050;1050;1300;1200;1100;26;217,9;215,8;218,6;5,8;4,8;5,6;1,7;27,9;56,1;36,7
Nevado;90;BP1;0,139;0,15;147;147;147;190;195;137;1050;1050;1050;1300;1200;1100;26;217,9;215,8;218,6;5,8;4,8;5,6;1,7;27,9;56,1;36,7
Nevado;90;FF1;0,139;0,15;147;147;147;190;195;137;1050;1050;1050;1300;1200;1100;26;211,4;210,4;214,9;7;6,7;7,3;5;33,5;49,2;39,15
Nevado;90;FF1;0,139;0,15;147;147;147;190;195;137;1050;1050;1050;1300;1200;1100;26;211,4;210,4;214,9;7;6,7;7,3;5;33,5;49,2;39,15
Nevado;90;FF1;0,165;160;143;143;143;192;200;137;1100;1100;1100;1250;1150;1050;26;216,4;213,2;211,5;6,6;5,5;5,8;1,3;50,1;73,8;66,4
Nevado;90;FF1;0,165;160;143;143;143;192;200;137;1100;1100;1100;1250;1150;1050;26;216,4;213,2;211,5;6,6;5,5;5,8;1,3;50,1;73,8;66,4
Nevado;90;BP2;0,165;0,16;137;137;137;187;196;137;1050;1050;1050;1200;1100;1000;26;217;213,6;211,9;7,4;6,5;7;5;24,9;49,2;36
Nevado;90;BP2;0,165;0,16;137;137;137;187;196;137;1050;1050;1050;1200;1100;1000;26;218,1;216,7;218,7;7,9;6,6;6,8;5,8;20,2;35,6;30,7
Nevado;90;BP2;0,165;0,16;137;137;137;188;198;137;1050;1050;1050;1200;1100;1000;26;217,6;215,2;216,3;7,7;6,7;7;6;21,4;31,7;25,5
Nevado;90;BP2;0,165;0,16;137;137;137;188;198;137;1050;1050;1050;1200;1100;1000;26;218,3;214,8;224,8;7,8;6,5;7,2;8;17,8;30;25
Nevado;90;BP2;0,165;0,16;137;137;137;188;198;137;1050;1050;1050;1200;1100;1000;26;219,9;213,3;212,6;7,7;6,3;6,5;4,5;20,3;40,5;28
Nevado;90;BP2;0,165;0,16;137;137;137;188;198;137;1050;1050;1050;1200;1100;1000;26;219,9;213,3;212,6;7,7;6,3;6,5;4,5;20,3;40,5;28
Nevado;90;BP2;0,165;0,16;137;137;137;188;198;137;1050;1050;1050;1200;1100;1000;26;218,6;215,1;215,2;6,3;6,5;6,4;4,7;19,8;39,7;28,7
Nevado;90;BP2;0,165;0,16;137;137;137;188;198;137;1050;1050;1050;1200;1100;1000;26;218,6;215,1;215,2;6,3;6,5;6,4;4,7;19,8;39,7;28,7
Nevado;90;FF2;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;220;214,4;219;7;6,3;6,8;6,1;17,4;34;18,9
Nevado;90;FF2;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;217,8;215,9;219,4;6,8;6,3;6,7;5,9;28,9;42,6;27,6
Nevado;90;FF2;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;219,3;213,8;217,7;7,1;6,5;6,8;5;17,6;30,7;16,1
Nevado;90;FF2;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;219,3;213,8;217,7;7,1;6,5;6,8;5;17,6;30,7;16,1
Nevado;90;FF2;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;214,7;211,8;214,4;7;6,3;6,9;4,3;22,8;45,7;21,5
Nevado;90;FF2;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;214,7;211,8;214,4;7;6,3;6,9;4,3;22,8;45,7;21,5
Nevado;90;FF1;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;210,8;206,7;211;6,2;5,8;6,6;3,2;31,1;57,7;33,6
Nevado;90;FF1;0,135;0,145;144;144;144;188;198;137;1050;1050;1050;1200;1100;1000;26;210,5;200,3;205,8;6,8;5,5;6,3;2,9;24,7;53;37,1
Nevado;90;FF1;0,145;0,153;144;144;144;190;198;139;1050;1050;1050;1200;1100;1000;26;204,9;202,8;209;5,8;5,1;5,8;2;44,7;68,7;53,5
Nevado;90;FF1;0,145;0,153;144;144;144;190;198;139;1050;1050;1050;1200;1100;1000;26;204,9;202,8;209;5,8;5,1;5,8;2;44,7;68,7;53,5
Cinza;75;BP2;0,125;0,105;120;120;120;185;195;137;1100;1100;1100;1300;1200;1100;26;177,5;176,7;182,6;6,7;5,8;7,6;4,6;66,6;76,3;56,5
Cinza;75;BP2;0,125;0,105;120;120;120;185;195;137;1100;1100;1100;1300;1200;1100;26;177,2;175,3;180,1;6,8;5,5;7,4;5;52,7;70,5;47,3
Cinza;75;BP2;0,125;0,105;120;120;120;185;193;137;1100;1100;1100;1250;1150;1050;26;179;174,9;172,7;6,3;5,6;6,4;4,3;52,7;71,2;43,5
Cinza;75;BP2;0,125;0,105;120;120;120;185;193;137;1100;1100;1100;1250;1150;1050;26;173,5;172,3;174,8;6;4,9;5,6;2,8;61,5;80,7;58,9
Cinza;75;BP2;0,125;0,105;120;120;120;185;193;137;1100;1100;1100;1250;1150;1050;26;181,3;178,1;179,7;7,1;5,9;7,3;5;34,6;59,3;41,1
Cinza;75;BP2;0,135;0,111;120;120;120;188;195;135;850;850;850;1200;1100;1000;26;175,1;171,1;175,3;6,3;5,7;6,4;4,2;40,4;56,1;36,5
Cinza;75;BP2;0,135;0,111;120;120;120;188;195;135;850;850;850;1200;1100;1000;26;174,6;173,3;175,7;6,7;5,4;6,6;4,5;48,2;61,3;45,7
Cinza;75;BP2;0,135;0,111;120;120;120;188;195;135;850;850;850;1200;1100;1000;26;172,6;170,5;173,9;6,3;5,2;6,1;4;48;63,2;47,2
Graffo;72;BP2;0,124;0,105;121;121;121;185;191;138;900;900;900;1150;1050;950;26;174,7;174,9;175,7;6,7;6,1;6,9;5,3;29,6;45,2;28,9
Graffo;72;BP2;0,124;0,105;121;121;121;185;191;138;900;900;900;1150;1050;950;26;174,7;174,9;175,7;6,7;6,1;6,9;5,3;29,6;45,2;28,9
Graffo;72;BP2;0,124;0,105;121;121;121;185;191;138;900;900;900;1150;1050;950;26;179,7;173,2;180;7,1;5,9;6,6;4,8;31,6;46,7;25,81
Graffo;72;BP2;0,124;0,105;121;121;121;185;191;138;900;900;900;1150;1050;950;26;178,3;171,2;175,5;6,8;5,7;6,7;4,3;32,6;47,9;27,58
Graffo;72;BP2;0,124;0,105;121;121;121;185;191;138;900;900;900;1150;1050;950;26;176,6;172,4;178,2;7;6;7,3;4,6;27,2;44;24,88
Graffo;72;BP2;0,124;0,105;121;121;121;185;191;138;900;900;900;1150;1050;950;26;176,6;172,4;178,2;7;6;7,3;4,6;27,2;44;24,88
