DISENO;Gramaje ;PLANTA;GAP LO(mm);GAP LT(mm); TEMPERATURA HORNO 1(C); TEMPERATURA HORNO 2(C); TEMPERATURA HORNO 3(C); TEMPERATURA HORNO 4(C); TEMPERATURA HORNO 5(C); TEMPERATURA HORNO 6(C);VELOCIDAD VENTILADOR HORNO 1(rpm);VELOCIDAD VENTILADOR HORNO 2(rpm);VELOCIDAD VENTILADOR HORNO 3(rpm);VELOCIDAD VENTILADOR HORNO 4 (rpm);VELOCIDAD VENTILADOR HORNO 5 (rpm);VELOCIDAD VENTILADOR HORNO 6 (rpm); VELOCIDAD DE LA LINEA m/min;PESO IMPREGNADO LO1;PESO IMPREGNADO LC;PESO IMPREGNADO LT1;VOLATILES LO2;VOLATILES LC2; VOLATILES LT2;FLUIDEZ;ESTADO B LO3;ESTADO B LC3;ESTADO B LT3
Lana;70;BP2;0,118;0,123;142;142;142;217;222;138;1300;1300;1300;1350;1200;1100;33;177,5;177,4;180,3;6,4;5,4;6,2;5,3;26,4;47,7;26,9
Lana;70;BP2;0,118;0,123;142;142;142;217;222;138;1300;1300;1300;1350;1200;1100;33;180,4;173,8;178,6;6,4;5,1;6,3;4,6;20,2;45,5;23,7
Lana;70;BP2;0,118;0,123;142;142;142;217;222;138;1300;1300;1300;1350;1200;1100;33;180,4;173,8;178,6;6,4;5,1;6,3;4,6;20,2;45,5;23,7
Lana;70;BP1;0,118;0,123;142;142;142;217;222;138;1300;1300;1300;1350;1200;1100;33;173,9;173,4;177;6,5;5,8;6,4;4,5;21;44,8;25,3
Lana;70;BP1;0,118;0,123;142;142;142;217;222;138;1300;1300;1300;1350;1200;1100;33;173,9;173,4;177;6,5;5,8;6,4;4,5;21;44,8;25,3
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;167,5;163,9;167;7,2;5,9;7,1;4,4;30,7;55,6;32,66
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;166,6;164,5;166,8;6,9;5,5;6,8;4,2;26,7;53,3;29,59
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;170,3;166;173,4;7;5,8;7,4;4,6;27;52,4;30,88
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;168,9;163,4;169,9;6,7;5,6;6,9;4,3;25,5;46,6;27,7
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;168,7;164,3;166,7;6,8;5,6;6,7;5,2;23,7;47,6;26,58
Amaretto;65;BP2;0,105;0,11;136;136;136;217;220;138;1250;1250;1250;1300;1200;1100;33;167,7;165,6;167,8;6,6;5,6;6,8;4,5;22,5;45,2;27,11
