DISENO,Gramaje,PLANTA,GAP LO(mm),GAP LT(mm),Temp Horno 1,Temp Horno 2,Temp Horno 3,Temp Horno 4,Temp Horno 5,Temp Horno 6,Vel Vent Horno 1,Vel Vent Horno 2,Vel Vent Horno 3,Vel Vent Horno 4,Vel Vent Horno 5,Vel Vent Horno 6,Vel Linea,PESO IMPREGNADO LO1,PESO IMPREGNADO LC,PESO IMPREGNADO LT1,VOLATILES LO2,VOLATILES LC2,VOLATILES LT2,FLUIDEZ,ESTADO B LO3,ESTADO B LC3,ESTADO B LT3
2,68,2,0.117,0.115,142,142,142,216,220,140,1300,1300,1300,1350,1250,1150,33,177.6,170.1,174.3,7.5,5.9,6.7,2.7,11.6,30.7,20.3
2,68,2,0.113,0.107,142,142,142,216,220,144,1300,1300,1300,1350,1250,1150,33,168.3,162.7,170.3,5.6,4.4,5.4,1.6,35.4,75.0,35.4
2,68,2,0.113,0.107,142,142,142,216,220,144,1300,1300,1300,1350,1250,1150,33,172.2,163.8,166.0,6.4,4.8,5.5,1.9,17.9,61.6,30.4
2,68,2,0.113,0.107,142,142,142,216,220,144,1300,1300,1300,1350,1250,1150,33,169.2,166.3,169.0,6.3,5.0,5.9,2.8,25.9,60.1,41.1
2,68,2,0.113,0.108,140,140,140,216,220,142,1200,1200,1200,1300,1200,1100,33,172.5,164.7,168.3,6.7,5.0,5.7,2.5,20.0,56.7,30.7
2,68,2,0.113,0.108,140,140,140,216,220,142,1200,1200,1200,1300,1200,1100,33,172.5,164.7,168.3,6.7,5.0,5.7,2.5,20.0,56.7,30.7
2,68,2,0.113,0.108,140,140,140,216,220,142,1200,1200,1200,1300,1200,1100,33,171.3,164.3,168.8,7.2,5.4,6.5,3.4,32.1,75.5,50.9
2,68,2,0.113,0.101,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,177.2,167.1,169.4,8.6,6.3,7.1,5.7,13.2,40.3,23.3
2,68,2,0.113,0.101,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,166.2,164.6,169.7,7.2,6.0,7.0,5.0,24.7,49.7,35.4
2,68,2,0.113,0.101,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,166.2,164.6,169.7,7.2,6.0,7.0,5.0,24.7,49.7,35.4
2,68,2,0.113,0.101,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,169.4,166.8,172.4,6.9,6.0,7.4,3.8,39.4,54.2,27.0
2,68,2,0.113,0.101,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,168.2,164.3,169.4,7.3,5.7,6.8,3.6,36.0,74.0,38.1
2,68,2,0.113,0.101,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,168.5,166.2,170.2,7.5,6.3,7.6,5.2,25.1,49.6,28.0
2,68,2,0.113,0.101,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,170.1,167.5,172.7,7.5,6.1,7.5,5.9,25.4,48.7,22.9
2,68,2,0.113,0.101,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,171.2,166.1,169.2,7.8,6.1,7.6,5.4,20.0,48.2,19.0
2,68,2,0.113,0.101,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,169.7,168.2,172.4,7.3,5.7,7.4,3.6,27.5,52.6,30.56
2,68,2,0.105,0.115,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,169.9,169.0,173.6,7.4,6.0,7.5,3.6,27.0,53.5,32.78
2,68,2,0.105,0.115,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,170.6,169.0,172.6,7.3,6.3,7.4,3.8,26.7,48.8,29.78
2,68,2,0.105,0.115,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,172.3,168.1,175.3,7.3,6.0,7.3,4.3,30.6,47.9,31.51
2,68,2,0.105,0.115,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,171.2,170.4,174.3,7.4,6.5,7.3,4.4,29.6,46.7,28.6
2,68,2,0.105,0.115,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,173.2,168.8,174.4,7.6,6.2,7.6,4.5,28.8,49.6,29.89
2,68,2,0.105,0.115,133,133,133,216,220,139,1200,1200,1200,1300,1200,1100,33,172.3,168.5,175.3,7.7,6.2,8.0,4.0,26.8,47.9,26.98
1,65,0,0.105,0.115,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,159.0,158.9,163.3,6.9,6.4,6.9,3.3,23.6,44.6,25.25
1,65,0,0.105,0.115,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,159.0,158.9,163.3,6.9,6.4,6.9,3.3,23.6,44.6,25.25
1,65,0,0.105,0.115,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,161.0,157.8,163.0,6.6,5.3,6.6,2.6,25.5,45.6,27.5
1,65,0,0.105,0.115,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,161.0,157.8,163.0,6.6,5.3,6.6,2.6,25.5,45.6,27.5
1,65,0,0.105,0.115,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,163.5,160.3,163.8,6.6,5.8,6.5,2.7,26.3,45.6,28.67
1,65,0,0.105,0.115,136,136,136,216,220,139,1200,1200,1200,1300,1200,1100,33,163.5,160.3,163.8,6.6,5.8,6.5,2.7,26.3,45.6,28.67
1,65,0,0.105,0.114,136,136,136,214,219,137,1200,1200,1200,1300,1200,1100,33,162.4,160.5,166.3,7.2,6.2,6.6,2.8,24.5,42.3,24.69
1,65,0,0.105,0.114,136,136,136,214,219,137,1200,1200,1200,1300,1200,1100,33,163.8,163.5,166.3,6.7,6.2,6.6,5.2,17.0,27.9,19.3
1,65,0,0.108,0.114,141,141,141,214,219,137,1250,1250,1250,1300,1200,1100,33,167.4,165.8,164.2,6.3,5.5,6.1,5.3,21.4,34.2,22.3
1,65,0,0.108,0.114,141,141,141,214,219,137,1250,1250,1250,1300,1200,1100,33,167.4,165.8,164.2,6.3,5.5,6.1,5.3,21.4,34.2,22.3
1,65,0,0.108,0.114,141,141,141,214,219,137,1250,1250,1250,1300,1200,1100,33,165.1,161.9,165.3,6.2,5.5,5.9,3.8,22.9,40.0,24.0
1,65,0,0.108,0.114,141,141,141,214,219,137,1250,1250,1250,1300,1200,1100,33,165.1,161.9,165.3,6.2,5.5,5.9,3.8,22.9,40.0,24.0
1,65,0,0.108,0.114,141,141,141,214,219,137,1250,1250,1250,1300,1200,1100,33,165.3,163.5,165.5,6.2,5.6,6.2,4.0,20.0,37.2,22.9
1,65,0,0.108,0.114,141,141,141,214,219,137,1250,1250,1250,1300,1200,1100,33,165.3,163.5,165.5,6.2,5.6,6.2,4.0,20.0,37.2,22.9
1,65,0,0.107,0.111,141,141,141,215,220,137,1250,1250,1250,1300,1200,1100,33,168.2,167.2,171.0,6.5,5.9,5.8,5.1,15.9,22.3,15.1
1,65,0,0.107,0.111,141,141,141,215,220,137,1250,1250,1250,1300,1200,1100,33,166.6,164.9,169.8,6.3,5.4,6.3,4.9,19.4,35.1,22.3
1,65,0,0.107,0.111,141,141,141,215,220,137,1250,1250,1250,1300,1200,1100,33,166.3,162.7,165.6,6.2,5.5,5.8,4.5,16.3,32.6,22.4
1,65,0,0.107,0.111,141,141,141,215,220,137,1250,1250,1250,1300,1200,1100,33,166.3,162.7,165.6,6.2,5.5,5.8,4.5,16.3,32.6,22.4
1,65,0,0.107,0.111,143,143,143,217,222,137,1250,1250,1250,1300,1200,1100,33,166.6,165.2,168.6,6.4,5.6,6.2,5.0,16.6,27.9,22.7
1,65,0,0.107,0.111,143,143,143,217,222,137,1250,1250,1250,1300,1200,1100,33,166.6,165.2,168.6,6.4,5.6,6.2,5.0,16.6,27.9,22.7
14,72,1,0.115,0.119,135,135,135,186,196,138,1150,1150,1150,1300,1200,1100,26,183.6,183.5,186.0,7.3,5.7,6.6,4.7,39.2,55.3,43.12
14,72,1,0.115,0.119,135,135,135,186,196,138,1150,1150,1150,1300,1200,1100,26,182.3,181.6,183.4,6.7,5.6,6.8,3.7,30.3,48.8,36.54
14,72,1,0.115,0.119,135,135,135,187,197,138,1150,1150,1150,1300,1200,1100,26,183.8,179.9,182.3,6.5,5.7,6.7,4.0,31.5,48.0,33.58
14,72,1,0.115,0.119,135,135,135,187,197,138,1150,1150,1150,1300,1200,1100,26,184.5,180.6,185.4,6.3,5.5,6.5,4.4,28.8,48.0,34.01
14,72,1,0.115,0.119,135,135,135,187,197,138,1150,1150,1150,1300,1200,1100,26,183.2,178.8,183.4,6.4,5.5,6.4,3.8,26.6,47.6,30.36
14,72,1,0.115,0.119,135,135,135,187,197,138,1150,1150,1150,1300,1200,1100,26,181.3,179.9,183.2,6.5,5.6,6.8,4.2,29.9,51.5,29.97
14,72,1,0.115,0.119,135,135,135,187,197,138,1150,1150,1150,1300,1200,1100,26,178.9,175.6,180.2,6.6,5.4,6.7,3.6,30.6,49.5,28.75
14,72,1,0.115,0.119,135,135,135,187,197,138,1150,1150,1150,1300,1200,1100,26,181.3,174.2,178.9,6.5,5.5,6.4,3.6,31.2,50.2,29.74
12,90,4,0.115,0.119,134,134,134,187,197,138,1150,1150,1150,1300,1200,1100,26,224.5,222.2,225.8,6.7,6.0,7.3,3.8,26.5,36.6,25.26
12,90,4,0.115,0.119,134,134,134,187,197,138,1150,1150,1150,1300,1200,1100,26,224.5,222.2,225.8,6.7,6.0,7.3,3.8,26.5,36.6,25.26
12,90,0,0.145,0.15,147,147,147,185,195,136,1150,1150,1150,1300,1200,1100,26,216.9,211.5,212.3,6.7,5.2,5.5,1.9,14.3,41.8,24.5
12,90,0,0.139,0.15,147,147,147,188,195,137,1150,1150,1150,1300,1200,1100,26,219.6,216.3,219.2,5.8,4.9,5.3,1.5,37.9,62.2,43.2
12,90,0,0.139,0.15,147,147,147,190,195,137,1050,1050,1050,1300,1200,1100,26,217.9,215.8,218.6,5.8,4.8,5.6,1.7,27.9,56.1,36.7
12,90,0,0.139,0.15,147,147,147,190,195,137,1050,1050,1050,1300,1200,1100,26,217.9,215.8,218.6,5.8,4.8,5.6,1.7,27.9,56.1,36.7
12,90,3,0.139,0.15,147,147,147,190,195,137,1050,1050,1050,1300,1200,1100,26,211.4,210.4,214.9,7.0,6.7,7.3,5.0,33.5,49.2,39.15
12,90,3,0.139,0.15,147,147,147,190,195,137,1050,1050,1050,1300,1200,1100,26,211.4,210.4,214.9,7.0,6.7,7.3,5.0,33.5,49.2,39.15
12,90,3,0.165,0.107,143,143,143,192,200,137,1100,1100,1100,1250,1150,1050,26,216.4,213.2,211.5,6.6,5.5,5.8,1.3,50.1,73.8,66.4
12,90,3,0.165,0.107,143,143,143,192,200,137,1100,1100,1100,1250,1150,1050,26,216.4,213.2,211.5,6.6,5.5,5.8,1.3,50.1,73.8,66.4
12,90,1,0.165,0.16,137,137,137,187,196,137,1050,1050,1050,1200,1100,1000,26,217.0,213.6,211.9,7.4,6.5,7.0,5.0,24.9,49.2,36.0
12,90,1,0.165,0.16,137,137,137,187,196,137,1050,1050,1050,1200,1100,1000,26,218.1,216.7,218.7,7.9,6.6,6.8,5.8,20.2,35.6,30.7
12,90,1,0.165,0.16,137,137,137,188,198,137,1050,1050,1050,1200,1100,1000,26,217.6,215.2,216.3,7.7,6.7,7.0,6.0,21.4,31.7,25.5
12,90,1,0.165,0.16,137,137,137,188,198,137,1050,1050,1050,1200,1100,1000,26,218.3,214.8,224.8,7.8,6.5,7.2,8.0,17.8,30.0,25.0
